idx,source,model,question,reference,generated,accuracy,completeness,clarity,safety,rationale,judge_latency_s,judge_error
55,bioasq,QLoRA Qwen,List the diseases for which there are point-of-care breath tests,"Point of care breath tests are available for lung cancer, pulmonary embolism, respiratory distress syndrome, methanol intoxication, kidney diseases, liver diseases, Helicobacter pylori infection, asthma, sepsis, heart failure, diabetes and tuberculosis.",The diseases for which there are point-of-care breath tests include: 1) carbon monoxide poisoning; 2) cyanide intoxication; and 3) methanol toxicity.,3,1,8,7.0,"Clear list format, but it omits most of the major point-of-care breath test indications in the reference and adds intoxications not supported there except methanol.",2.085352800000692,
56,drugbank-description,GPT-5.5,What is Recombinant stabilized RSV A prefusion F antigen?,"Recombinant stabilized RSV B prefusion F antigen is one component of a bivalent respiratory syncytial virus (RSV) vaccine called Abrysvo. The vaccine comprises two antigens - the other being [recombinant stabilized RSV A prefusion F antigen] - which have been expressed in Chinese hamster ovary cell lines and then purified and lyophilized. In contrast to another RSV vaccine, [respiratory syncytial virus vaccine, adjuvanted] (Arexvy), Abrysvo is reconstituted with sterile water prior to injection and does not require the co-administration of an adjuvant.

Abrysvo was first approved by the FDA in May 2023 for use in patients ≥60 years of age, and received subsequent approval in August 2023 for use in pregnant individuals for the protection of infants through six months of age. Abrysvo was approved for the same indications in the EU in August 2023 and Canada in December 2023. It is the first RSV vaccine approved for use in pregnant patients to prevent RSV in infants.","Recombinant stabilized RSV A prefusion F antigen is a lab-made version of the respiratory syncytial virus subtype A fusion protein, engineered to stay in its “prefusion” shape—the form the virus uses before entering human cells.

The RSV F protein is a major target for protective neutralizing antibodies. Stabilizing it in the prefusion form preserves important immune-recognition sites, making it more effective as a vaccine antigen. “Recombinant” means it is produced using genetic engineering rather than taken from live virus, so it is not infectious.",9,6,9,10.0,"Accurate, clear description of the antigen and prefusion rationale, but it omits the key context that it is a component of the bivalent Abrysvo RSV vaccine and related approved uses.",1.8749442999996973,
56,drugbank-description,QLoRA Qwen,What is Recombinant stabilized RSV A prefusion F antigen?,"Recombinant stabilized RSV B prefusion F antigen is one component of a bivalent respiratory syncytial virus (RSV) vaccine called Abrysvo. The vaccine comprises two antigens - the other being [recombinant stabilized RSV A prefusion F antigen] - which have been expressed in Chinese hamster ovary cell lines and then purified and lyophilized. In contrast to another RSV vaccine, [respiratory syncytial virus vaccine, adjuvanted] (Arexvy), Abrysvo is reconstituted with sterile water prior to injection and does not require the co-administration of an adjuvant.

Abrysvo was first approved by the FDA in May 2023 for use in patients ≥60 years of age, and received subsequent approval in August 2023 for use in pregnant individuals for the protection of infants through six months of age. Abrysvo was approved for the same indications in the EU in August 2023 and Canada in December 2023. It is the first RSV vaccine approved for use in pregnant patients to prevent RSV in infants.","Recombinant stabilized RSV A prefusion F antigen is an immunization vaccine that contains the pre-fusion conformation of the F protein in recombinant form, produced by fermentation of Chinese hamster ovary (CHO) cells. The virus-like particle is prepared using a modified citrate-buffered saline medium and subsequently purified through affinity chromatography on Protein A-agarose columns to remove residual carrier proteins. It was previously marketed under the brand name REVLIZUMAB.",1,2,6,2.0,"It correctly identifies a recombinant prefusion RSV F antigen but includes major false details (virus-like particle, Protein A purification, and nonexistent brand REVLIZUMAB) and omits its role as a component of Abrysvo.",1.9940140000007887,
57,drugbank-indication,GPT-5.5,What is Nifedipine used for?,"Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina. Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.","Nifedipine is a calcium channel blocker used mainly to treat high blood pressure and angina, which is chest pain caused by reduced blood flow to the heart. It works by relaxing and widening blood vessels, lowering blood pressure and reducing the heart’s workload.

It is also sometimes used for conditions involving blood vessel spasm, such as Raynaud’s phenomenon, and in some cases to help delay premature labor, depending on the clinical situation.",10,9,10,9.0,"Accurate and clear summary of nifedipine’s main uses with reasonable mention of common off-label uses, though it omits the capsule vs extended-release formulation distinction in the reference.",1.9241144000006898,
57,drugbank-indication,QLoRA Qwen,What is Nifedipine used for?,"Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina. Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.",Nifedipine is indicated to treat angina pectoris due to coronary artery disease and hypertension. It may also be used in combination with other antihypertensive agents or as adjunctive therapy in the treatment of mild to moderate essential hypertension.,8,6,8,9.0,"Mostly correct and clear on angina and hypertension, but it omits the specific distinction between capsule and extended-release indications and does not mention vasospastic angina explicitly.",1.892993899999965,
58,bioasq,GPT-5.5,What is the genetic basis of propionic acidemia?,"Mutations in the PCCA or PCCB genes, encoding both subunits of propionyl-CoA carboxylase.","Propionic acidemia is an autosomal recessive metabolic disorder caused by biallelic pathogenic variants in either the PCCA or PCCB gene. These genes encode the α and β subunits of propionyl-CoA carboxylase, a mitochondrial enzyme.

Deficiency of this enzyme impairs conversion of propionyl-CoA to methylmalonyl-CoA, causing accumulation of propionic acid and related toxic metabolites. This disrupts metabolism of certain amino acids, odd-chain fatty acids, and cholesterol side-chain products.",10,10,10,10.0,"Accurate and complete, correctly naming PCCA/PCCB, their encoded PCC subunits, inheritance, and relevant biochemical consequence without unsafe content.",1.8685973999999987,
58,bioasq,QLoRA Qwen,What is the genetic basis of propionic acidemia?,"Mutations in the PCCA or PCCB genes, encoding both subunits of propionyl-CoA carboxylase.",Propionic acidemia (PA) is an autosomal recessive metabolic disorder caused by deficiency of mitochondrial propionyl-CoA hydrolase enzyme activity due to mutations in PEPCK gene.,0,1,6,3.0,"The answer is clearly written but factually incorrect, misidentifying both the enzyme and gene; PA is due to autosomal recessive mutations in PCCA or PCCB encoding propionyl-CoA carboxylase.",2.0610728000001473,
59,bioasq,GPT-5.5,Does BNP increase after intensive exercise in athletes?,"BNP and NTproBNP increase early after exercise in healthy athletes performing different types of sports. It is unknown the reason of this increase. The transient increases in BNP, NT-pro-BNP and troponin T are more likely to reflect myocardial stunning than cardiomyocyte damage.","Yes. BNP and especially NT-proBNP can increase transiently after intensive or prolonged exercise in athletes, particularly after endurance events such as marathons, triathlons, or long cycling races.

The rise is usually modest and short-lived, reflecting temporary cardiac wall stress from high cardiac output and volume/pressure load rather than heart failure. Levels typically peak soon after exercise or within several hours and return toward baseline within 24–72 hours. The increase is more likely with longer duration, higher intensity, older age, dehydration/heat stress, and less training adaptation.",10,9,10,10.0,"Accurate, clear summary that correctly states transient post-exercise BNP/NT-proBNP elevation and its likely benign mechanism, with only minor omission of the reference’s mention of myocardial stunning/troponin T.",1.9173258999999234,
59,bioasq,QLoRA Qwen,Does BNP increase after intensive exercise in athletes?,"BNP and NTproBNP increase early after exercise in healthy athletes performing different types of sports. It is unknown the reason of this increase. The transient increases in BNP, NT-pro-BNP and troponin T are more likely to reflect myocardial stunning than cardiomyocyte damage.",Yes. BNP is increased after intense exercise in healthy individuals and in patients with heart failure.,9,6,9,10.0,"Correctly states that BNP rises after intense exercise, but omits the transient/early nature, athlete-specific context, and the likely interpretation versus true myocardial damage.",2.0339880999999878,
60,bioasq,GPT-5.5,What gene is mutated in Sickle Cell Anemia?,"Sickle cell anemia (SCA) is an autosomal recessive disease caused by by the HBB:c.20A>T mutation that leads to hemoglobin S synthesis.

sca patients present clinical and hematologic variability that cannot be only explained by the single mutation in the beta-globin gene.","Sickle cell anemia is caused by a mutation in the **HBB gene**, which encodes the **beta-globin** subunit of hemoglobin.

The classic mutation is a single nucleotide change that leads to a **glutamic acid to valine substitution at position 6** of the beta-globin protein, producing **hemoglobin S (HbS)**.",10,9,10,10.0,"Correctly identifies the HBB beta-globin mutation and explains the classic Glu6Val change producing HbS, with clear and safe wording.",1.8176771000007648,
60,bioasq,QLoRA Qwen,What gene is mutated in Sickle Cell Anemia?,"Sickle cell anemia (SCA) is an autosomal recessive disease caused by by the HBB:c.20A>T mutation that leads to hemoglobin S synthesis.

sca patients present clinical and hematologic variability that cannot be only explained by the single mutation in the beta-globin gene.","The gene that is mutated in sickle cell anemia is HBB. The disease results from mutations of this gene which alter its normal structure and function, leading to abnormal hemoglobin molecules (Hemoglobin S or HbS) that are more prone to form fibers than the normal form of hemoglobin (Hemoglobin A or HbA). These abnormal fibers cause red blood cells to become misshapen like a sickle. The misshapen RBCs can get stuck in small blood vessels, leading to pain and organ damage.",10,9,9,10.0,"Correctly identifies HBB and explains the resulting HbS pathophysiology clearly, though it does not specify the exact c.20A>T (Glu6Val) mutation or inheritance pattern.",2.0059430999999677,
61,drugbank-indication,GPT-5.5,What is Baclofen used for?,"Oral baclofen is indicated for the treatment of spasticity resulting from multiple sclerosis and is particularly useful for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. It may also be used to treat patients with spinal cord injuries and other spinal cord diseases. Baclofen should not be used to treat skeletal muscle spasms resulting from rheumatic disorders.

Intrathecal baclofen is also indicated for the management of severe spasticity of the cerebral or spinal original in patients 4 years of age and older. It is reserved for patients unresponsive to oral baclofen therapy, or those who experience intolerable central nervous system side effects at effective doses. For use in spasticity due to traumatic brain injury, baclofen should be considered after at least one year of injury.","Baclofen is a muscle relaxant used to treat muscle spasms, stiffness, and spasticity, especially from conditions affecting the brain or spinal cord such as multiple sclerosis, spinal cord injury, cerebral palsy, or stroke.

It works by acting on the nervous system to reduce abnormal muscle tightening and spasms. It may be taken by mouth or delivered directly into the spinal fluid with an intrathecal pump for severe spasticity. It is also sometimes used off-label for conditions such as alcohol use disorder or persistent hiccups.",9,8,9,,"Accurate and clear overview of baclofen’s main use for spasticity, with helpful route information; slightly incomplete because it omits key limitations such as not being for rheumatic skeletal muscle spasm and intrathecal use criteria.",2.590633499999967,
61,drugbank-indication,QLoRA Qwen,What is Baclofen used for?,"Oral baclofen is indicated for the treatment of spasticity resulting from multiple sclerosis and is particularly useful for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. It may also be used to treat patients with spinal cord injuries and other spinal cord diseases. Baclofen should not be used to treat skeletal muscle spasms resulting from rheumatic disorders.

Intrathecal baclofen is also indicated for the management of severe spasticity of the cerebral or spinal original in patients 4 years of age and older. It is reserved for patients unresponsive to oral baclofen therapy, or those who experience intolerable central nervous system side effects at effective doses. For use in spasticity due to traumatic brain injury, baclofen should be considered after at least one year of injury.","Baclofen is indicated as adjunctive therapy to treat spasticity associated with multiple sclerosis and cerebral palsy, post-stroke spasticity, pain in patients with multiple sclerosis or spinal cord injury, and painful neuromuscular disorders. It may also be used off-label for the treatment of chronic back pain, fibromyalgia, tension headaches, migraine, and alcohol withdrawal seizures.",5,4,7,4.0,"The answer is readable but includes several unsupported or questionable indications and omits key distinctions such as oral vs intrathecal use, spinal cord disease indications, and the warning against use for ordinary rheumatic skeletal muscle spasm.",2.047602000000552,
62,drugbank-mechanism_of_action,GPT-5.5,How does Perfluorohexyloctane work?,"Perfluorohexyloctane mediates its actions in the lipid layer and meibomian glands. While the exact mechanism of action is not fully understood, perfluorohexyloctane is believed to interact with the air-liquid interface of the tear film and form a monolayer, preventing the evaporation of the aqueous phase of the tears.","Perfluorohexyloctane is a water-free eye drop used for dry eye disease, especially when caused by meibomian gland dysfunction. It works mainly by spreading across the tear film and forming a thin, stable layer at the eye’s surface that reduces evaporation of tears.

By limiting tear evaporation, it helps stabilize the tear film, improve lubrication, and reduce dryness, burning, irritation, and blurred vision related to an unstable tear film. It is not primarily an anti-inflammatory drug or an artificial tear that adds water; its main action is protecting the tear film from evaporating too quickly.",10,9,10,10.0,"Accurate, clear explanation of tear-film stabilization and reduced evaporation, with only minor omission of the reference’s note about exact mechanism being not fully understood and meibomian/lipid-layer specifics.",2.085453600000619,
62,drugbank-mechanism_of_action,QLoRA Qwen,How does Perfluorohexyloctane work?,"Perfluorohexyloctane mediates its actions in the lipid layer and meibomian glands. While the exact mechanism of action is not fully understood, perfluorohexyloctane is believed to interact with the air-liquid interface of the tear film and form a monolayer, preventing the evaporation of the aqueous phase of the tears.","Perfluorohexyloctane is an 8-membered perfluoroalkane that has been used as an inhalational agent in adults and children weighing from 30 kg to 150 kg. It was first approved by the FDA on September 29, 2007 for use under general anesthesia in pediatric patients between 30 kgs and 150 kgs of body weight. Perfluorohexyloctane is a non-ionic surfactant that acts as an aerosol to provide inhalational anesthesia. It has been shown to be effective at inducing and maintaining deep levels of anesthesia, which may explain its use in pediatric patients weighing from 30 kg to 150 kgs of body weight.",0,0,6,1.0,"The response is clearly written but factually incorrect, confusing perfluorohexyloctane with an inhalational anesthetic and omitting its tear-film/lipid-layer mechanism.",2.0288839999993797,
63,drugbank-indication,GPT-5.5,What is Hydrocortamate used for?,Used topically as an antiinflammatory in the treatment of steroid-responsive dermatoses,"Hydrocortamate is a topical corticosteroid used to relieve inflammation, redness, itching, and swelling caused by steroid-responsive skin conditions.

It may be used for conditions such as eczema, dermatitis, allergic skin reactions, rashes, and sometimes psoriasis. It works by reducing the skin’s inflammatory response.",10,10,10,10.0,"Accurately identifies hydrocortamate as a topical corticosteroid for steroid-responsive dermatoses, with clear wording and no unsafe advice.",3.6436493000001065,
63,drugbank-indication,QLoRA Qwen,What is Hydrocortamate used for?,Used topically as an antiinflammatory in the treatment of steroid-responsive dermatoses,"Hydrocortamate is indicated to treat inflammation and allergic reactions caused by skin diseases such as dermatitis, eczema, pruritus, contact dermatitis, acute urticaria, chronic idiopathic urticaria, and other inflammatory disorders of the skin. It may also be used in the treatment of nonallergic edemas due to lymphangitis or lymphedema, including postphlebitic edema, venous leg ulcers, and lipoconstipation secondary to lipodystrophy.",4,6,7,5.0,It correctly identifies topical anti-inflammatory use for skin conditions but adds several questionable or likely incorrect indications such as urticaria and lymphedema-related edema.,1.8988566999996692,
64,drugbank-side_effects,GPT-5.5,What are the side effects of Ecallantide?,"While there have been no reports of overdose with ecallantide, patients with hereditary angioedema have received single doses up to 90 mg intravenously without evidence of dose-related toxicity [FDA Label]. There are no animal or human studies to assess the carcinogenic or mutagenic potential of ecallantide [FDA Label]. In rats receiving subcutaneous doses up to 25 mg/kg/day, there were no observable effects on fertility reproductive performance [FDA Label]. 

An approximate lethal dose was identified as 25 mg/kg intravenously in rats and 5 mg/kg intravenously in rabbits.","Ecallantide (Kalbitor) can cause side effects such as headache, nausea, diarrhea, fever, fatigue, injection-site reactions, rash, itching, and upper respiratory symptoms like nasal congestion or throat irritation.

The most important serious side effect is hypersensitivity, including anaphylaxis, which can occur shortly after dosing and may include wheezing, chest tightness, throat swelling, low blood pressure, hives, flushing, or trouble breathing. Because of this risk, ecallantide is given by a healthcare professional in a monitored setting.",9,7,9,10.0,"Accurately describes common and serious adverse effects, especially anaphylaxis, but does not address the reference’s overdose/toxicity and reproductive safety details.",1.7401472000001377,
64,drugbank-side_effects,QLoRA Qwen,What are the side effects of Ecallantide?,"While there have been no reports of overdose with ecallantide, patients with hereditary angioedema have received single doses up to 90 mg intravenously without evidence of dose-related toxicity [FDA Label]. There are no animal or human studies to assess the carcinogenic or mutagenic potential of ecallantide [FDA Label]. In rats receiving subcutaneous doses up to 25 mg/kg/day, there were no observable effects on fertility reproductive performance [FDA Label]. 

An approximate lethal dose was identified as 25 mg/kg intravenously in rats and 5 mg/kg intravenously in rabbits.","There is limited information regarding overdose with ecallantide. In case of an overdose, provide supportive treatment as clinically indicated. There have been no reports of overdosage with ecallantide in clinical trials. The oral LD<sub>50</sub> in rats was >1200 mg/kg and 3960 mg/kg for intravenous administration.",2,1,6,3.0,"The answer is clear but largely does not address side effects, and it includes likely incorrect toxicity data and route details inconsistent with the reference.",1.9576575999999477,
65,drugbank-side_effects,GPT-5.5,What are the side effects of Diazepam?,"The symptoms of diazepam overdose are mainly an intensification of the therapeutic effects (ataxia, drowsiness, dysarthria, sedation, muscle weakness, profound sleep, hypotension, bradycardia, nystagmus) or paradoxical excitation. In most cases only observation of vital functions is required.

Extreme overdosage may lead to coma, areflexia, cardio-respiratory depression and apnoea, requiring appropriate countermeasures (ventilation, cardiovascular support).

Benzodiazepine respiratory depressant effects are more serious in patients with severe chronic obstructive airways disease. Severe effects in overdose also include rhabdomyolysis and hypothermia. Overdose of benzodiazepines in combination with other CNS depressants (including alcohol) may be fatal and should be closely monitored.

In general, the use of diazepam in women of childbearing potential, and more specifically during known pregnancy, should be considered only when the clinical situation warrants the risk to the fetus. The possibility that a woman of childbearing potential may be pregnant at the time of institution of therapy should be considered. If this drug is used during pregnancy, or if the patient becomes pregnant while taking this drug, the patient should be apprised of the potential hazard to the fetus.","Diazepam can cause drowsiness, dizziness, fatigue, muscle weakness, slowed reaction time, poor coordination, confusion, blurred vision, headache, nausea, constipation, and changes in mood or alertness. It can impair driving or operating machinery.

More serious side effects include severe sedation, trouble breathing, low blood pressure, falls, memory problems, paradoxical agitation or aggression, depression, and allergic reactions. Long-term or regular use can lead to tolerance, dependence, and withdrawal symptoms if stopped suddenly, including anxiety, insomnia, tremors, and rarely seizures. Using diazepam with alcohol, opioids, or other sedatives increases the risk of dangerous breathing suppression and overdose.",9,8,9,10.0,"Accurate, clear summary of common and serious diazepam adverse effects with important warnings about dependence and CNS depressant interactions, though it does not mention pregnancy risk or some overdose-specific signs from the reference.",2.0223711000007825,
65,drugbank-side_effects,QLoRA Qwen,What are the side effects of Diazepam?,"The symptoms of diazepam overdose are mainly an intensification of the therapeutic effects (ataxia, drowsiness, dysarthria, sedation, muscle weakness, profound sleep, hypotension, bradycardia, nystagmus) or paradoxical excitation. In most cases only observation of vital functions is required.

Extreme overdosage may lead to coma, areflexia, cardio-respiratory depression and apnoea, requiring appropriate countermeasures (ventilation, cardiovascular support).

Benzodiazepine respiratory depressant effects are more serious in patients with severe chronic obstructive airways disease. Severe effects in overdose also include rhabdomyolysis and hypothermia. Overdose of benzodiazepines in combination with other CNS depressants (including alcohol) may be fatal and should be closely monitored.

In general, the use of diazepam in women of childbearing potential, and more specifically during known pregnancy, should be considered only when the clinical situation warrants the risk to the fetus. The possibility that a woman of childbearing potential may be pregnant at the time of institution of therapy should be considered. If this drug is used during pregnancy, or if the patient becomes pregnant while taking this drug, the patient should be apprised of the potential hazard to the fetus.","Diazepam overdose may be characterized by somnolence progressing to stupor or coma; ataxia and muscular weakness; respiratory depression; hypotension, including shock; CNS depression with lethargy, convulsions, coma, and rarely death. The most common adverse effects are drowsiness, dizziness, headache, dry mouth, nausea, vomiting, constipation, blurred vision, tachycardia, hypokalaemia, hypomagnesaemia, hypochloremic alkalosis, hyponatremia, hypocalcaemia and hyperphosphataemia.",4,5,6,4.0,"It mentions key overdose effects like somnolence, ataxia, coma and respiratory depression, but adds several likely incorrect/nonstandard adverse effects and omits important cautions such as alcohol/CNS depressant interactions and pregnancy risk.",2.086393699999462,
66,drugbank-side_effects,GPT-5.5,What are the side effects of Nelfinavir?,"Carcinogenicity studies in mice and rats were conducted with nelfinavir at oral doses up to 1000 mg/kg/day. No evidence of a
tumorigenic effect was noted in mice at systemic exposures (Cmax) up to 9-fold those measured in humans at the recommended
therapeutic dose (750 mg TID or 1250 mg BID). In rats, thyroid follicular cell adenomas and carcinomas were increased in males at
300 mg/kg/day and higher and in females at 1000 mg/kg/day. Systemic exposures (Cmax) at 300 and 1000 mg/kg/day were 1- to 3-fold, respectively, those measured in humans at the recommended therapeutic dose. Repeated administration of nelfinavir to rats produced
effects consistent with hepatic microsomal enzyme induction and increased thyroid hormone deposition; these effects predispose rats, but not humans, to thyroid follicular cell neoplasms. Nelfinavir showed no evidence of mutagenic or clastogenic activity in a battery of in vitro and in vivo genetic toxicology assays. These studies included bacterial mutation assays in S. typhimurium and E. coli, a mouse lymphoma tyrosine kinase assay, a chromosomal aberration assay in human lymphocytes, and an in vivo mouse bone marrow micronucleus assay.

Nelfinavir produced no effects on either male or female mating and fertility or embryo survival in rats at systemic exposures
comparable to the human therapeutic exposure.

Human experience of acute overdose with nelfinavir is limited. There is no specific antidote for overdose with VIRACEPT.","Nelfinavir commonly causes **diarrhea**, nausea, gas, abdominal discomfort, loss of appetite, headache, tiredness, and sometimes rash.

Less common but more serious side effects include **high blood sugar or worsening diabetes**, increased cholesterol/triglycerides, changes in body fat distribution, liver enzyme elevations or liver injury, and increased bleeding in people with hemophilia. Rarely, allergic reactions or severe skin reactions can occur.",8,6,9,8.0,"Clear and mostly correct overview of common and serious adverse effects, but it does not address the reference’s focus on carcinogenicity, mutagenicity, fertility, and overdose information.",1.8392149999999674,
66,drugbank-side_effects,QLoRA Qwen,What are the side effects of Nelfinavir?,"Carcinogenicity studies in mice and rats were conducted with nelfinavir at oral doses up to 1000 mg/kg/day. No evidence of a
tumorigenic effect was noted in mice at systemic exposures (Cmax) up to 9-fold those measured in humans at the recommended
therapeutic dose (750 mg TID or 1250 mg BID). In rats, thyroid follicular cell adenomas and carcinomas were increased in males at
300 mg/kg/day and higher and in females at 1000 mg/kg/day. Systemic exposures (Cmax) at 300 and 1000 mg/kg/day were 1- to 3-fold, respectively, those measured in humans at the recommended therapeutic dose. Repeated administration of nelfinavir to rats produced
effects consistent with hepatic microsomal enzyme induction and increased thyroid hormone deposition; these effects predispose rats, but not humans, to thyroid follicular cell neoplasms. Nelfinavir showed no evidence of mutagenic or clastogenic activity in a battery of in vitro and in vivo genetic toxicology assays. These studies included bacterial mutation assays in S. typhimurium and E. coli, a mouse lymphoma tyrosine kinase assay, a chromosomal aberration assay in human lymphocytes, and an in vivo mouse bone marrow micronucleus assay.

Nelfinavir produced no effects on either male or female mating and fertility or embryo survival in rats at systemic exposures
comparable to the human therapeutic exposure.

Human experience of acute overdose with nelfinavir is limited. There is no specific antidote for overdose with VIRACEPT.","The most common adverse reactions (incidence ≥10%) were headache, diarrhea, nausea, nasopharyngitis, and fatigue [FDA Label].",4,2,9,7.0,"Clear and plausible common side effects are given, but the answer misses the reference’s key content on carcinogenicity/genotoxicity/fertility and overdose, so it is substantially incomplete.",3.3569581000001563,
67,drugbank-indication,GPT-5.5,What is Yellow fever vaccine used for?,"Yellow Fever Vaccine is indicated for active immunization for the prevention of yellow fever in persons 9 months of age and older in the following categories:

1. Persons Living in or Traveling to Endemic Areas: While the actual risk for contracting yellow fever during travel is probably low, variability of itineraries, behaviors and seasonal incidence of disease make it difficult to predict the actual risk for a given individual living in or traveling to a known endemic or epidemic area. Greater risk is associated with living in or traveling to areas of South America and Africa where yellow fever infection is officially reported at the time of travel and with traveling outside the urban areas of countries that do not officially report the disease but that lie in a yellow fever endemic zone.

2. Persons Travelling Internationally Through Countries with Yellow Fever: Some countries require an individual to have a valid International Certificate of Vaccination or Prophylaxis (ICVP) if the individual has been in countries either known or thought to harbor yellow fever virus. The certificate becomes valid 10 days after vaccination with Yellow Fever Vaccine.

3. Laboratory Personnel: Laboratory personnel who handle virulent yellow fever virus or concentrated preparations of the yellow fever vaccine virus strains may be at risk of exposure by direct or indirect contact or by aerosols.","Yellow fever vaccine is used to prevent yellow fever, a potentially severe mosquito-borne viral infection that can cause fever, jaundice, bleeding, organ failure, and death.

It is recommended for people living in or traveling to areas where yellow fever occurs, especially parts of sub-Saharan Africa and tropical South America. Some countries also require proof of yellow fever vaccination for entry, particularly if arriving from a country with risk of yellow fever transmission.",10,8,10,10.0,"Accurate and clear indication for prevention and travel requirements, but it omits the age threshold and laboratory personnel indication.",1.768893499999649,
67,drugbank-indication,QLoRA Qwen,What is Yellow fever vaccine used for?,"Yellow Fever Vaccine is indicated for active immunization for the prevention of yellow fever in persons 9 months of age and older in the following categories:

1. Persons Living in or Traveling to Endemic Areas: While the actual risk for contracting yellow fever during travel is probably low, variability of itineraries, behaviors and seasonal incidence of disease make it difficult to predict the actual risk for a given individual living in or traveling to a known endemic or epidemic area. Greater risk is associated with living in or traveling to areas of South America and Africa where yellow fever infection is officially reported at the time of travel and with traveling outside the urban areas of countries that do not officially report the disease but that lie in a yellow fever endemic zone.

2. Persons Travelling Internationally Through Countries with Yellow Fever: Some countries require an individual to have a valid International Certificate of Vaccination or Prophylaxis (ICVP) if the individual has been in countries either known or thought to harbor yellow fever virus. The certificate becomes valid 10 days after vaccination with Yellow Fever Vaccine.

3. Laboratory Personnel: Laboratory personnel who handle virulent yellow fever virus or concentrated preparations of the yellow fever vaccine virus strains may be at risk of exposure by direct or indirect contact or by aerosols.","Yellow fever vaccine is indicated for active immunization of persons aged 9 months through 59 years with documented or suspected exposure to yellow fever virus in areas where the disease is endemic [FDA Label]. It is also indicated for pre-exposure vaccination of pregnant women and travelers aged 12 months through 60 years who are traveling to areas where there is a risk of infection with YFV. The vaccine is not recommended for use in patients with known or suspected Guillain-Barré syndrome, severe combined immunodeficiency (SCID), chronic lung disease requiring supplemental oxygen, and other serious underlying medical conditions [FDA Label].",5,4,7,6.0,"The answer correctly identifies prevention for people at risk from endemic travel/exposure, but it gives incorrect age ranges and adds unsupported contraindications while omitting key indications like international certificate requirements and laboratory personnel.",2.278020700000525,
68,drugbank-side_effects,GPT-5.5,What are the side effects of Chlorobutanol?,Oral LD50 of anhydrous chlorobutanol in rat is 510 mg/kg [MSDS]. Chlorobutanol was shown to induce conjunctival and corneal cell toxicity in vitro,"Chlorobutanol can cause side effects such as local irritation, burning or stinging, redness, swelling, itching, or allergic/contact dermatitis, especially when used in eye, ear, nasal, or topical preparations.

If absorbed systemically or used in larger amounts, it may cause drowsiness, dizziness, headache, nausea, vomiting, confusion, or central nervous system depression. Rarely, significant exposure may contribute to breathing depression, low blood pressure, or toxicity, particularly in infants or with repeated/high-dose use.",8,7,9,9.0,"Clear and generally medically plausible, covering local irritation and systemic CNS-depressant effects, but it does not mention the reference’s specific toxicity data (oral LD50 or in vitro conjunctival/corneal toxicity).",1.960036399999808,
68,drugbank-side_effects,QLoRA Qwen,What are the side effects of Chlorobutanol?,Oral LD50 of anhydrous chlorobutanol in rat is 510 mg/kg [MSDS]. Chlorobutanol was shown to induce conjunctival and corneal cell toxicity in vitro,"Oral LD50 is >20,000 mg/kg in rats and 14,683-17,900 mg/kg in mice [MSDS]. The oral TDLO for humans has not been established. Symptoms of overdose include headache, nausea, vomiting, dizziness, tremor, ataxia, hypotension, tachycardia, bradycardia, arrhythmias, and CNS depression.",1,2,7,3.0,"The answer is clearly written but gives a markedly incorrect rat LD50 versus the reference and omits the noted conjunctival/corneal toxicity, making it misleading.",1.760306500000297,
69,drugbank-mechanism_of_action,GPT-5.5,How does Malathion work?,"Malathion is a nonsystemic, wide-spectrum organophosphate insecticide. It inhibits acetylcholinesterase activity of most eukaryotes. Malathion is toxic to aquatic organisms, but has a relatively low toxicity for birds and mammals. The major metabolites of malathion are mono- and di-carboxylic acid derivatives, and malaoxon is a minor metabolite. However, it is malaoxon that is the strongest cholinesterase inhibitor. Cholinesterases catalyze the hydrolysis of the neurotransmitter acetylcholine into choline and acetic acid, a reaction necessary to allow a cholinergic neuron to return to its resting state after activation. Because of its essential function, chemicals that interfere with the action of cholinesterase are potent neurotoxins, causing muscle spasms and ultimately death.","Malathion is an organophosphate insecticide used topically to treat head lice. It works by inhibiting acetylcholinesterase, the enzyme that breaks down acetylcholine at nerve synapses.

This causes acetylcholine to accumulate, leading to overstimulation of the louse’s nervous system, paralysis, and death. Malathion also has some activity against lice eggs, which is why it can be effective as a pediculicide.",9,7,9,9.0,"Accurately explains acetylcholinesterase inhibition and resulting parasite paralysis, but omits broader context such as malaoxon metabolism and general organophosphate toxicity.",3.350179900000512,
